#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	SRR5665187	SRR5665186	SRR5665185	SRR5665184	SRR5665183	SRR5665182	SRR5665181	SRR5665180	SRR5665179	SRR5665178	SRR5665177	SRR5665176	SRR5665174	SRR5665173	SRR5665172	SRR5665171	SRR5665170	SRR5665169	SRR5665168	SRR5665167	SRR5665164	SRR5665163	SRR5665162	SRR5665161	SRR5665160	SRR5665159	SRR5665158	SRR5665157	SRR5665156	SRR5665155	SRR5665154	SRR5665153	SRR5665152	SRR5665151	SRR5665150	SRR5665149	SRR5665148	SRR5665147	SRR5665146	SRR5665145	SRR5665144	SRR5665133	SRR5665132	SRR5665131	SRR5665130	SRR5665129	SRR5665128	SRR5665127	SRR5665126	SRR5665125	SRR5665124	SRR5665122	SRR5665113	SRR5665112	SRR5665111	SRR5665110	SRR5665109	SRR5665108	SRR5665107	SRR5665106	SRR5665105	SRR5665104	SRR5665103	SRR5665092	SRR5665083	SRR5665082	SRR5665071	SRR5665070	SRR5665069	SRR5665068	SRR5665067	SRR5665066	SRR5665065	SRR5665064	SRR5665063	SRR5665062	SRR5665061	SRR5665060	SRR5665059	SRR5665058	SRR5665057	SRR5665056	SRR5665055	SRR5665054	SRR5665053	SRR5665052	SRR5665051	SRR5665050	SRR5665049	SRR5665048	SRR5665047	SRR5665046	SRR5665045	SRR5665044	SRR5665043	SRR5665042	SRR5665041	SRR5665040	SRR5665039	SRR5665038	SRR5665037	SRR5665035	SRR5665034	SRR5665033	SRR5665032	SRR5665031	SRR5665030	SRR5665029	SRR5665028	SRR5665027	SRR5665026	SRR5665025	SRR5665024
g__Anaeromassilibacillus	1924093.0	0.26505	0	0	0.01264	0	0	0	0	0	0	0	0	0	0	0	0	0.49342	0	0	0	0	0.02437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06072	0	0	0	0	0.02688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798	0.04385	0	0
g__Anaerostipes	207244.0	1.50457	10.03801	3.38451	2.35704	6.45506	4.09196	1.96461	11.53543	6.84304	17.40569	0	0	0	0	0	0	0	0	0	0	9.65325	3.96513	0.15522	2.62458	17.0256	0.3624	0.63014	10.75298	1.14747	9.13186	0	0	0	0	0	0	0	0	0	0	4.51174	0	0	1.79941	0	0	0	0	0	0	0	6.74866	0	0	0	0	0	0	0	0	0	0	12.52227	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78987	0	2.28125	1.32289	0.61864	7.91345	0.73908	9.92654	15.7144	7.20829	3.27694	2.42985	46.39178	8.16339	8.82228	1.14254	3.74171	0.64649	0.9261	0.83519	16.63319	0	0	0	0	3.17155	8.49152	9.09958	13.52297	8.19145	0.57665	1.13637	4.68437	3.49769	1.80624	4.52709	0
g__Anaerotignum	2039240.0	0	0	0	0	0	0	0	0	0.73761	0	0	0	0	0	0	0	0	0	0	0	0	0.05421	0.00193	0	0	0	0.20109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00225	0	0	0	0	0	0.17418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02159	0	0	1.26857	0	0	0	0.1076	0	0
g__Anaerotruncus	244127.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Asaccharobacter	553372.0	0.62727	1.55601	0.56193	0.11844	0.20294	0	0	0.17065	0.19617	0	0	0	0	0	0	0	0	0	0	0	0.00293	1.43674	0.06178	0	0	1.06916	0.20265	0	0.22017	0	0	0	0	0	0	0	0	0	0	0	0.10492	0	0	0	0	0	0	0	0	0	0	0.03351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20201	0.68921	0.0833	0	0.04643	0.2627	0	0.03454	0.15576	0	0	1.79981	0	0	0.10677	0.84436	0.40749	0.0321	0.44555	0	0	0	0	0.71356	0.77696	0.27764	0	0	0.07496	0.01662	0.88008	0.29946	0.03016	0.10877	0
g__Bacteroides	816.0	0.2176	7.66929	8.22262	7.14396	0.09061	0.24461	1.69818	0.0192	9.96209	0.48209	2.56515	4.23187	1.57309	0	83.43631	0	0.18605	0	0	21.95071	3.89951	2.56381	32.08551	0.81886	0	0.77263	5.89384	3.55107	7.32673	0.21282	0	0	0	9.59648	18.18656	0	0	5.01271	9.84727	0	0.74407	0	0	17.75205	65.03904	0	0	0	0	0.67808	0	0.48227	0	0	15.96861	14.40988	4.69413	6.01643	57.82598	0	0	0	0	9.26845	0	8.88856	6.7594	0	30.23671	0	0	0	0	2.1921	0	2.02309	10.64222	0	0	0	2.27497	0	18.12258	4.56216	0.11856	2.11754	1.19696	12.24844	0.86582	0.01059	0.42241	0	0	0.70849	4.9663	0.38889	0.15864	35.61963	0.09215	36.38862	0	0	0	0	0.11114	3.18541	1.58147	0.17033	0.55474	0.77476	5.27093	6.54627	0
g__Barnesiella	397864.0	0.53731	0.48382	0.09496	0.16173	0	0	0	0	0.28661	0	0	0	0	0	0	0	0	0	0	0	0.2256	0	0	0	0	0	0	0	1.02871	0	0	0	0	0.8359	0	0	0	0	0	0	0	0	0	4.67333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06059	0	0	0	0	0.35619	0	0	0.55371	0	0	0	0	0	0	0	0	0	0.01749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85425	0
g__Bifidobacterium	1678.0	7.6643	0	6.21832	0	0.26322	6.23956	0	28.00883	0	12.3684	0	0	0	0	0	0	0	0	0	0	4.18362	0	0.07011	0	34.16998	13.63843	14.44959	9.47881	39.73193	56.26515	0	0	0	0	0	0	0	0	0	0	7.51631	0	0	0	0	0	0	0	0	0	0	1.60665	0	0	0	0	0	0	0	0	0	0	4.13958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6136	3.85796	45.08896	0	15.9144	0	11.90523	3.08166	0.65687	0	14.22113	47.83964	0	4.29299	6.10166	0	0.37692	6.95862	0	0	0	0	8.80321	0	25.42252	28.84211	2.33489	1.61073	26.65995	4.68681	0.7552	3.83727	5.78556	0
g__Bilophila	35832.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.428	0	0	0	0	0	0	0	0	0.00995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01264	0	0	0	0	0	0
g__Blautia	572511.0	4.12149	7.39054	7.19696	1.05692	37.74276	15.00161	1.77024	20.89277	20.83481	10.08289	12.23539	0	0	0	0	0	0.71884	0	0	0	12.48022	11.97551	5.22156	1.4362	10.1315	15.55271	4.40808	5.50308	4.0168	25.59403	0	0	0	0	0	1.3291	0	0	0	0	15.76543	0	0	0.79072	0	0	0	0	0	0	0	11.53479	0	0	0	0.31629	0	19.11013	0	0	0.77253	0	33.14626	0	0	0	0.64462	0	0	0	0	0	0	0	0	0.00781	47.28161	0	52.17015	3.42819	8.48959	7.48523	7.87845	2.09815	16.70185	20.91841	12.35665	31.69567	12.99481	13.42152	4.09476	0.92992	16.64605	24.0747	10.01049	2.76851	18.5921	0	0	0	0	16.19574	28.22749	44.08881	14.52801	63.87613	2.13857	21.55411	6.27078	8.96147	4.31367	3.28597	0
