feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Peptostreptococcus	sample_type	Healthy volunteer	-3.27530320845319	0.453703453200422	105	45	9.24697105976357e-11	1.71068964605626e-08
Parvimonas	sample_type	Healthy volunteer	-3.53051343698696	0.559553109363953	105	50	7.12464635547062e-09	6.59029787881032e-07
Odoribacter	sample_type	Healthy volunteer	-2.17059456221888	0.439956773904858	105	101	3.11174867405885e-06	0.000191891168233629
Bilophila	sample_type	Healthy volunteer	-1.58817536402112	0.359750449895433	105	102	2.50058384956444e-05	0.00115652003042355
Porphyromonas	sample_type	Healthy volunteer	-1.71296868048038	0.402692954751806	105	104	4.63884912655101e-05	0.00171637417682387
Gemella	sample_type	Healthy volunteer	-2.16425906406761	0.539082307154716	105	60	0.000113183284648662	0.00299127252285748
Hungatella	sample_type	Healthy volunteer	-1.54415310366211	0.383013898842422	105	41	0.000106390138969432	0.00299127252285748
Family_XIII_AD3011_group	sample_type	Healthy volunteer	-1.83590210080008	0.494800147526306	105	80	0.000335754059599667	0.00776431262824231
Anaerotruncus	sample_type	Healthy volunteer	-1.00542485214517	0.289567392794896	105	26	0.000755989999306085	0.0155397944301806
UCG.005	sample_type	Healthy volunteer	-1.6647746416174	0.488460073093742	105	101	0.000934268501010683	0.0172839672686976
Escherichia.Shigella	sample_type	Healthy volunteer	-1.1376512142327	0.345228861631105	105	105	0.00134872189193606	0.0226830500007427
Limosilactobacillus	sample_type	Healthy volunteer	-1.44453729447607	0.46267929648173	105	30	0.00233093981118754	0.0301488470808861
Lachnospiraceae_UCG.010	sample_type	Healthy volunteer	-1.59769923812395	0.509077697871747	105	89	0.00221585685464424	0.0301488470808861
Ruminiclostridium	sample_type	Healthy volunteer	-0.858735899883943	0.276410540214086	105	13	0.00244450111466644	0.0301488470808861
Hydrogenoanaerobacterium	sample_type	Healthy volunteer	-0.760362885923896	0.23999744817409	105	12	0.00201911510966059	0.0301488470808861
Alistipes	sample_type	Healthy volunteer	-1.34621546434593	0.438183498173427	105	105	0.00271811441413513	0.0314281979134375
Granulicatella	sample_type	Healthy volunteer	-1.03519716901914	0.34680021995499	105	42	0.00354252812588796	0.0378667384717438
Eubacterium	sample_type	Healthy volunteer	-0.949528606519966	0.319500473862201	105	20	0.00368433131076426	0.0378667384717438
X.Ruminococcus._gnavus_group	sample_type	Healthy volunteer	1.53692421678569	0.532249958650523	105	66	0.00473146544423377	0.0460695319570131
Cloacibacillus	sample_type	Healthy volunteer	-0.771177783527663	0.276583781294191	105	13	0.00631302142333735	0.0583954481658705
Christensenellaceae_R.7_group	sample_type	Healthy volunteer	-1.14976168059367	0.420457763268074	105	105	0.00735557997671854	0.059164447638823
UCG.002	sample_type	Healthy volunteer	-1.26349914261139	0.461107586999565	105	104	0.00724007850556799	0.059164447638823
UCG.003	sample_type	Healthy volunteer	-1.14598100587894	0.414918461999877	105	95	0.00680535546958723	0.059164447638823
Lactobacillus	sample_type	Healthy volunteer	-1.17158586540486	0.458325342622883	105	36	0.012040469896907	0.0928119554553251
Intestinimonas	sample_type	Healthy volunteer	-0.982768381036119	0.399977828627762	105	59	0.0156787337393106	0.104601958714576
Paludicola	sample_type	Healthy volunteer	-1.09811172116007	0.444432713178332	105	41	0.0151213446819133	0.104601958714576
Oribacterium	sample_type	Healthy volunteer	-0.584135546556468	0.238096261064409	105	14	0.0158316478054494	0.104601958714576
X.Ruminococcus._gauvreauii_group	sample_type	Healthy volunteer	1.09552517089649	0.441767774214376	105	79	0.0147644505020354	0.104601958714576
Prevotella	sample_type	Healthy volunteer	-1.32790425383415	0.549697915892002	105	72	0.0174661742854013	0.105930780349522
Segatella	sample_type	Healthy volunteer	1.7232197362472	0.715186627857652	105	105	0.0177505631937037	0.105930780349522
Anaerococcus	sample_type	Healthy volunteer	-1.18288988222717	0.487504052114787	105	39	0.0169861598858937	0.105930780349522
Methanobrevibacter	sample_type	Healthy volunteer	-1.41927032757436	0.593301065132844	105	40	0.0185625148912719	0.107314539215166
Akkermansia	sample_type	Healthy volunteer	-1.30187439471296	0.550470892554048	105	101	0.0199019862289321	0.111571740980377
Eisenbergiella	sample_type	Healthy volunteer	-0.987743350461918	0.422234287009649	105	30	0.0212483190632175	0.11561585372633
Fusicatenibacter	sample_type	Healthy volunteer	0.979190950809043	0.421153138435506	105	103	0.0220320611949572	0.116455180601916
Desulfovibrio	sample_type	Healthy volunteer	-1.65936813180804	0.727362655198524	105	69	0.0245855550948022	0.122927775474011
Campylobacter	sample_type	Healthy volunteer	-0.764269641511862	0.334064511669273	105	35	0.0241932954120344	0.122927775474011
Alloprevotella	sample_type	Healthy volunteer	-0.734120489801322	0.326043041079752	105	26	0.026470162809549	0.125563592814527
Faecalicatena	sample_type	Healthy volunteer	-0.388806200075221	0.172458815701001	105	15	0.0262822205358131	0.125563592814527
Succinivibrio	sample_type	Healthy volunteer	1.70039938912596	0.758789844106874	105	98	0.0271764887266417	0.125691260360718
Ruthenibacterium	sample_type	Healthy volunteer	-0.889136753430059	0.404070104569248	105	78	0.0300086216611539	0.135404756275938
Butyricimonas	sample_type	Healthy volunteer	-1.38320817834818	0.643652432335815	105	81	0.0339770219959401	0.149660692124974
Mogibacterium	sample_type	Healthy volunteer	-1.05975575685695	0.497681161146812	105	27	0.035605302010144	0.15318560167155
CAG.352	sample_type	Healthy volunteer	-0.932907238829189	0.452864364328106	105	105	0.0419183205365536	0.176247484074146
Victivallis	sample_type	Healthy volunteer	-1.04613450154978	0.517501192077616	105	72	0.0458205055672396	0.186633809157203
CAG.196	sample_type	Healthy volunteer	1.14001404649498	0.565489852897726	105	51	0.0464062444390884	0.186633809157203
Lachnospira	sample_type	Healthy volunteer	1.22513967087515	0.626019077547482	105	93	0.053050374467994	0.208815303756998
Comamonas	sample_type	Healthy volunteer	-0.67676348823918	0.353378637696727	105	76	0.0582506877205765	0.224507858923055
Enterocloster	sample_type	Healthy volunteer	-0.620414290108062	0.329810728159437	105	99	0.0627794368380023	0.237024404388376
Aeromonas	sample_type	Healthy volunteer	0.409551532272721	0.236054083720361	105	61	0.0857336960258876	0.298262597609083
Gabonibacter	sample_type	Healthy volunteer	-0.396669988517724	0.228334361186843	105	12	0.0853353140968995	0.298262597609083
Parolsenella	sample_type	Healthy volunteer	0.518480031673944	0.300118874593957	105	12	0.0870604338967053	0.298262597609083
Veillonella	sample_type	Healthy volunteer	-0.819385456316096	0.467459844200742	105	55	0.0826037483282834	0.298262597609083
NK4A214_group	sample_type	Healthy volunteer	-0.905001247268643	0.518880595784085	105	91	0.0841176685011278	0.298262597609083
Morganella	sample_type	Healthy volunteer	-0.430865982931622	0.257340811038523	105	50	0.0971054582510042	0.306715102616983
Megasphaera	sample_type	Healthy volunteer	1.29123335159812	0.771188740971975	105	45	0.0970974745890537	0.306715102616983
Mitsuokella	sample_type	Healthy volunteer	0.652931634718304	0.385139189279364	105	21	0.0930370510308389	0.306715102616983
Negativibacillus	sample_type	Healthy volunteer	-0.689805750594969	0.413531792401728	105	50	0.0983364982083301	0.306715102616983
Fournierella	sample_type	Healthy volunteer	0.486978601608208	0.292938967423576	105	15	0.0994751684163187	0.306715102616983
Butyribacter	sample_type	Healthy volunteer	0.824875102519234	0.494069768069256	105	53	0.0980447042445165	0.306715102616983
Hoylesella	sample_type	Healthy volunteer	-0.658190662894413	0.397903184090748	105	27	0.101141965585099	0.30674202677448
Peptoniphilus	sample_type	Healthy volunteer	-0.571566808996907	0.351905146726746	105	45	0.107388088341403	0.315345973700944
Howardella	sample_type	Healthy volunteer	-0.628779729994552	0.385294866276051	105	43	0.105745008889495	0.315345973700944
UCG.009	sample_type	Healthy volunteer	-0.557412380204142	0.349485285132671	105	38	0.113786855466716	0.328915129083476
Oscillibacter	sample_type	Healthy volunteer	-0.74991226882474	0.472689608867135	105	79	0.115695986154024	0.329288575976837
Agathobaculum	sample_type	Healthy volunteer	0.531379058996598	0.337058736000676	105	100	0.117973083426682	0.330682127786913
Roseburia	sample_type	Healthy volunteer	0.711905380244267	0.456155083980553	105	103	0.121670158639231	0.335954915645639
Oxalobacter	sample_type	Healthy volunteer	-0.569191696240503	0.368346834646726	105	31	0.125350378940986	0.336084349334528
Merdibacter	sample_type	Healthy volunteer	-0.377305274247762	0.243450533793959	105	16	0.124251235620234	0.336084349334528
Bacteroides	sample_type	Healthy volunteer	-0.538668905887627	0.355350321754798	105	105	0.132612410706712	0.35047565686774
Solobacterium	sample_type	Healthy volunteer	-0.943989422505709	0.651933595128445	105	48	0.150658685427109	0.392561363436834
Parabacteroides	sample_type	Healthy volunteer	-0.500649878810384	0.349751672583038	105	105	0.155330398072765	0.396598750169144
Anaerostipes	sample_type	Healthy volunteer	0.58949471777867	0.412991344391534	105	103	0.156495723039716	0.396598750169144
Holdemanella	sample_type	Healthy volunteer	-0.960569736078499	0.680495125165013	105	90	0.16108896294462	0.40272240736155
Family_XIII_UCG.001	sample_type	Healthy volunteer	-0.546427165861325	0.395994827094328	105	60	0.170610201025956	0.420838495864025
Acidaminococcus	sample_type	Healthy volunteer	0.756403557373385	0.556205749285141	105	42	0.17681986513218	0.43041677696649
Actinomyces	sample_type	Healthy volunteer	-0.447084027064688	0.345572503011445	105	28	0.198645844284861	0.47348760899292
Candidatus_Soleaferrea	sample_type	Healthy volunteer	-0.46424982878607	0.361702031265351	105	33	0.202192006002382	0.47348760899292
Lachnospiraceae_UCG.008	sample_type	Healthy volunteer	0.613352650589594	0.476854152318603	105	65	0.201240363098451	0.47348760899292
Sphingobium	sample_type	Healthy volunteer	-0.277630090567659	0.236173154968775	105	17	0.242490407117922	0.48508345834371
Fusobacterium	sample_type	Healthy volunteer	-0.694500523302761	0.575232061827696	105	102	0.230066556383667	0.48508345834371
Holdemania	sample_type	Healthy volunteer	-0.48243430963462	0.393590085604339	105	56	0.223096342042771	0.48508345834371
Erysipelotrichaceae_UCG.003	sample_type	Healthy volunteer	0.613852691049118	0.527064341525664	105	100	0.246845570827963	0.48508345834371
Dielma	sample_type	Healthy volunteer	-0.243726463847176	0.210098386375403	105	13	0.248706823614283	0.48508345834371
Leuconostoc	sample_type	Healthy volunteer	-0.220827155003742	0.191580845464906	105	15	0.251718983789168	0.48508345834371
Turicibacter	sample_type	Healthy volunteer	-0.50591268661429	0.411913312564934	105	75	0.222170356036299	0.48508345834371
Rikenellaceae_RC9_gut_group	sample_type	Healthy volunteer	-0.643686814122515	0.545777802612562	105	76	0.240958537324874	0.48508345834371
Massiliprevotella	sample_type	Healthy volunteer	-0.687265117215921	0.567409814638329	105	92	0.228578058120173	0.48508345834371
Bifidobacterium	sample_type	Healthy volunteer	0.676531585941929	0.536189370227234	105	105	0.209892202707283	0.48508345834371
Peptococcus	sample_type	Healthy volunteer	-0.614845135947387	0.531268700905188	105	49	0.249820590215114	0.48508345834371
Romboutsia	sample_type	Healthy volunteer	0.60112312356554	0.494953892017295	105	95	0.227332670944952	0.48508345834371
Colidextribacter	sample_type	Healthy volunteer	-0.541061195191483	0.439467362127563	105	91	0.221061283055115	0.48508345834371
Ruminococcus	sample_type	Healthy volunteer	-0.677347496194596	0.547281609087902	105	103	0.218656803505797	0.48508345834371
Moryella	sample_type	Healthy volunteer	-0.457789061801404	0.384228140309359	105	42	0.236214721233228	0.48508345834371
Extibacter	sample_type	Healthy volunteer	-0.504123964429195	0.424687654364731	105	31	0.237939839159103	0.48508345834371
Blautia	sample_type	Healthy volunteer	0.351857665684715	0.300333906672854	105	105	0.24407876378232	0.48508345834371
Lactococcus	sample_type	Healthy volunteer	0.403753231649919	0.352279907533286	105	30	0.25440337459429	0.485202312370553
Massiliomicrobiota	sample_type	Healthy volunteer	0.2382635412675	0.214938595030752	105	12	0.270219404694779	0.49549798126596
Intestinibacter	sample_type	Healthy volunteer	-0.558382873443355	0.503502044996115	105	57	0.270013638318232	0.49549798126596
Acutalibacter	sample_type	Healthy volunteer	-0.576348192556556	0.517613036323672	105	90	0.268097041167604	0.49549798126596
Agathobacter	sample_type	Healthy volunteer	0.443192044606059	0.400053829001233	105	105	0.270515114096551	0.49549798126596
CAG.873	sample_type	Healthy volunteer	-0.296744451204131	0.270819884272081	105	47	0.275754043225635	0.49780263441014
Lachnospiraceae_NK4A136_group	sample_type	Healthy volunteer	-0.550080714787524	0.503498843577731	105	100	0.277154980239159	0.49780263441014
Clostridium	sample_type	Healthy volunteer	-0.515317315864213	0.478423358028057	105	99	0.283944869805219	0.505094239557361
Asteroleplasma	sample_type	Healthy volunteer	0.511279686025978	0.482288787989316	105	14	0.291573674512281	0.513725045569258
Thermus	sample_type	Healthy volunteer	-0.183840849113407	0.17652697938344	105	12	0.300113429691181	0.523782872574231
Pseudomonas	sample_type	Healthy volunteer	-0.158875381647454	0.155419836447253	105	105	0.309065288364897	0.534365218200991
Allisonella	sample_type	Healthy volunteer	0.401173302133184	0.400443071616859	105	37	0.318776599877898	0.546052509050103
Ligilactobacillus	sample_type	Healthy volunteer	-0.657914769390279	0.684489857663053	105	43	0.338715021288594	0.56452503548099
Faecalibacterium	sample_type	Healthy volunteer	0.357000314324237	0.369372733290726	105	105	0.336055817285382	0.56452503548099
CAG.56	sample_type	Healthy volunteer	0.451886969802612	0.469405027808064	105	56	0.337962640713906	0.56452503548099
Megamonas	sample_type	Healthy volunteer	-0.681767437204027	0.732426147651978	105	61	0.354115850393756	0.579747188697742
Gemmiger	sample_type	Healthy volunteer	-0.364598152774789	0.391278291259409	105	104	0.353612266966755	0.579747188697742
Rothia	sample_type	Healthy volunteer	0.209166082281846	0.235689885043385	105	24	0.376897226038658	0.606110055922858
Anaerobutyricum	sample_type	Healthy volunteer	0.386862659121913	0.4336204735043	105	97	0.374382032422911	0.606110055922858
Tyzzerella	sample_type	Healthy volunteer	0.648390678570662	0.735472774095413	105	59	0.380047386416495	0.606110055922858
Defluviitaleaceae_UCG.011	sample_type	Healthy volunteer	-0.363365775153677	0.416581780443744	105	35	0.385097762899944	0.608915266123843
Coprobacter	sample_type	Healthy volunteer	-0.399837242240983	0.467497584525408	105	41	0.394386115095055	0.618317214343943
Paraprevotella	sample_type	Healthy volunteer	0.563271085075265	0.692349674485567	105	68	0.417771256504871	0.649476323137824
Enterococcus	sample_type	Healthy volunteer	-0.273097152969998	0.341152798738437	105	80	0.425256387223602	0.650185385424515
Finegoldia	sample_type	Healthy volunteer	-0.212908167135658	0.264825784371631	105	58	0.42327423662292	0.650185385424515
Gordonibacter	sample_type	Healthy volunteer	-0.428226653838361	0.565383003312057	105	29	0.45053362979477	0.683186241901905
Lacticaseibacillus	sample_type	Healthy volunteer	-0.180124515952732	0.251044838294146	105	13	0.47469012258414	0.713964818520862
Eggerthella	sample_type	Healthy volunteer	-0.352510544971377	0.501650974107186	105	53	0.483827377697942	0.716064518992954
Dorea	sample_type	Healthy volunteer	0.261676191937508	0.369503662112313	105	103	0.480431232306931	0.716064518992954
Mailhella	sample_type	Healthy volunteer	-0.259734415854238	0.404134123950557	105	15	0.52185102183049	0.754237804989381
Barnesiella	sample_type	Healthy volunteer	-0.358682165519169	0.549737223154075	105	96	0.515557267813643	0.754237804989381
Dialister	sample_type	Healthy volunteer	-0.433534501029305	0.671998497229192	105	88	0.52026958175624	0.754237804989381
Phocea	sample_type	Healthy volunteer	-0.127539451755419	0.200523905142064	105	21	0.52616689056805	0.754580424458056
UCG.004	sample_type	Healthy volunteer	-0.280728077111806	0.457561649686173	105	23	0.540878112065746	0.763835501772237
Anaeroplasma	sample_type	Healthy volunteer	0.217395322430815	0.351332389066723	105	34	0.537431391155896	0.763835501772237
Butyrivibrio	sample_type	Healthy volunteer	-0.372203528102589	0.618656079398971	105	18	0.548740819501741	0.769068572786531
Faecalimonas	sample_type	Healthy volunteer	0.241545470049103	0.408584404241428	105	64	0.555697364887218	0.772962500031093
Leyella	sample_type	Healthy volunteer	-0.513651681420112	0.896057677808627	105	58	0.567734969267672	0.778007180107551
Collinsella	sample_type	Healthy volunteer	0.185977127442484	0.322736311840888	105	104	0.565702615260357	0.778007180107551
Angelakisella	sample_type	Healthy volunteer	-0.203559472149391	0.359052912646251	105	42	0.571992149833974	0.77807755675945
Streptococcus	sample_type	Healthy volunteer	-0.248767765208852	0.444625119383278	105	104	0.577035159725981	0.779208062403697
Mediterraneibacter	sample_type	Healthy volunteer	-0.232242504563981	0.441603266225253	105	102	0.600082915844609	0.804458981385889
DTU089	sample_type	Healthy volunteer	-0.0807695847871162	0.156681362120959	105	23	0.60730684674477	0.808286090991241
Sellimonas	sample_type	Healthy volunteer	0.115320029677313	0.230898837558091	105	15	0.618534876256019	0.817349657909739
Slackia	sample_type	Healthy volunteer	-0.24763907539035	0.510934274841154	105	63	0.628933256049388	0.819557739092969
Lancefieldella	sample_type	Healthy volunteer	-0.136684852010424	0.282120360866541	105	19	0.629065940276766	0.819557739092969
X.Eubacterium._brachy_group	sample_type	Healthy volunteer	-0.110056743633282	0.233717644251735	105	24	0.638710645095177	0.826303981416838
Acinetobacter	sample_type	Healthy volunteer	-0.103927140055532	0.232069633850116	105	47	0.655218262174687	0.836730051978896
Coprobacillus	sample_type	Healthy volunteer	-0.16852709056499	0.382389157019262	105	31	0.660338311291453	0.836730051978896
UCG.008	sample_type	Healthy volunteer	-0.172922560182483	0.391778898906608	105	16	0.659864591915094	0.836730051978896
Murdochiella	sample_type	Healthy volunteer	-0.0768872662006918	0.181388351186646	105	12	0.672535763353802	0.84638854571737
Weissella	sample_type	Healthy volunteer	-0.158213502721361	0.381144976105395	105	35	0.678931663385197	0.848664579231496
Ezakiella	sample_type	Healthy volunteer	-0.116364725147855	0.285669219062218	105	12	0.684603048507991	0.84907157353862
Monoglobus	sample_type	Healthy volunteer	0.201232915221699	0.506042166007802	105	86	0.69170349617109	0.84907157353862
GCA.900066575	sample_type	Healthy volunteer	-0.148190284250673	0.374427185042489	105	74	0.693086936747906	0.84907157353862
Lachnospiraceae_ND3007_group	sample_type	Healthy volunteer	0.17631851385797	0.452529540002768	105	100	0.697615563123623	0.84907157353862
Prevotellaceae_NK3B31_group	sample_type	Healthy volunteer	0.175030631951389	0.467873368281962	105	24	0.709100186648819	0.851841133311893
Zag_111	sample_type	Healthy volunteer	-0.248142897550896	0.662836557744075	105	32	0.708902288183121	0.851841133311893
Catenibacillus	sample_type	Healthy volunteer	-0.0816472615584764	0.225925228874541	105	12	0.718547699210146	0.857621447444367
Sutterella	sample_type	Healthy volunteer	-0.158427995284212	0.481647916728658	105	103	0.742877172888325	0.861088201119926
Catenibacterium	sample_type	Healthy volunteer	0.24945222802814	0.771766302266341	105	54	0.747182040310852	0.861088201119926
Senegalimassilia	sample_type	Healthy volunteer	0.218678540373008	0.636609113120378	105	65	0.731918608807833	0.861088201119926
Terrisporobacter	sample_type	Healthy volunteer	-0.0802356180656362	0.260487646925304	105	17	0.758688523148908	0.861088201119926
Fenollaria	sample_type	Healthy volunteer	-0.087575980088737	0.271087681359618	105	49	0.747309212349273	0.861088201119926
X.Eubacterium._xylanophilum_group	sample_type	Healthy volunteer	0.188693658351996	0.559701780500522	105	54	0.736703034190324	0.861088201119926
X.Eubacterium._ventriosum_group	sample_type	Healthy volunteer	0.169339404283037	0.528862797758896	105	71	0.749468897720212	0.861088201119926
Coprococcus	sample_type	Healthy volunteer	0.164487492589169	0.5334076018155	105	100	0.758422759196427	0.861088201119926
Klebsiella	sample_type	Healthy volunteer	-0.121159220020402	0.410496315126218	105	105	0.768471128478813	0.861619144052002
Lachnospiraceae_FCS020_group	sample_type	Healthy volunteer	-0.0922480540898487	0.306613720665572	105	72	0.76412710784776	0.861619144052002
Phascolarctobacterium	sample_type	Healthy volunteer	-0.201877089213462	0.740435957569679	105	80	0.785671008215509	0.87559720795102
Parageobacillus	sample_type	Healthy volunteer	0.0463307881995098	0.176170462661698	105	13	0.793084862921135	0.87856706371503
Olsenella	sample_type	Healthy volunteer	0.139557803995204	0.552240849920816	105	26	0.80099454234443	0.880811184391858
