"ERR3928931" "ERR3928933" "ERR3928934" "ERR3928935" "ERR3928936" "ERR3928937" "ERR3928938" "ERR3928939" "ERR3928940" "ERR3928941" "ERR3928942" "ERR3928943" "ERR3928944" "ERR3928945" "ERR3928946" "ERR3928947" "ERR3928948" "ERR3928949" "ERR3928950" "ERR3928951" "ERR3928952" "ERR3928953" "ERR3928954" "ERR3928955" "ERR3928956" "ERR3928957" "ERR3928958" "ERR3928959" "ERR3928960" "ERR3928961" "ERR3928962" "ERR3928963" "ERR3928964" "ERR3928965" "ERR3928966" "ERR3928967" "ERR3928968" "ERR3928969" "ERR3928970" "ERR3928971" "ERR3928972" "ERR3928973" "ERR3928974" "ERR3928975" "ERR3928976" "ERR3928977" "ERR3928978" "ERR3928979" "ERR3928980" "ERR3928981" "ERR3928982" "ERR3929033" "ERR3929034" "ERR3929035" "ERR3929036" "ERR3929037" "ERR3929038" "ERR3929039" "ERR3929040" "ERR3929041" "ERR3929042" "ERR3929043" "ERR3929044" "ERR3929045" "ERR3929046" "ERR3929047" "ERR3929048" "ERR3929049" "ERR3929050" "ERR3929051" "ERR3929052" "ERR3929053" "ERR3929054" "ERR3929055" "ERR3929056" "ERR3929057" "ERR3929058" "ERR3929059" "ERR3929060" "ERR3929061" "ERR3929062" "ERR3929063" "ERR3929064" "ERR3929065" "ERR3929066" "ERR3929067" "ERR3929068" "ERR3929069" "ERR3929070" "ERR3929071" "ERR3929072" "ERR3929073" "ERR3929074" "ERR3929075" "ERR3929076" "ERR3929077" "ERR3929078" "ERR3929079" "ERR3929080" "ERR3929081" "ERR3929082" "ERR3929083" "ERR3929084" "ERR3929085" "ERR3928932"
"Citrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 785 0 0 0 0 0 0 256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 315 834 0 0 0 122 0 0 0 0 0 0 0 0 0 0 0
"Shewanella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aeromonas" 0 20 14 21 20 13 0 16 0 17 0 0 18 15 25 19 17 16 11 0 15 15 11 16 0 17 12 0 0 0 0 0 0 15 27 22 0 0 0 0 0 0 8 14 0 0 0 0 18 22 8 0 0 0 0 0 0 20 0 16 0 13 0 14 0 0 10 0 11 0 19 21 0 0 24 12 16 28 0 0 0 12 18 29 23 18 35 25 0 37 18 22 13 43 16 0 155 0 30 28 14 14 19 19 19
"Haemophilus" 63 12 13 36 26 29 15 16 21 16 11 226 25 10 28 17 98 101 12 12 156 20 13 21 10 48 202 9 13 9 16 24 10 32 31 32 142 102 22 4 11 14 11 12 24 37 13 205 112 188 17 166 14 14 12 25 21 56 4 16 0 19 22 96 0 18 26 24 126 10 22 13 87 14 26 23 50 28 21 58 16 12 22 11 18 22 70 53 46 40 18 17 10 1642 19 24 79 0 24 28 63 98 17 42 92
"Methylophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eikenella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Neisseria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"Burkholderia-Caballeronia-Paraburkholderia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methyloversatilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dechloromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tepidiphilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
"Caldimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aquabacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tepidimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Variovorax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 59 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Comamonas" 11 14 10 10 0 6 0 13 10 6 14 420 12 9 24 15 11 7 9 0 12 0 12 15 17 12 0 10 260 8 0 13 6 14 17 0 0 11 28 0 16 0 0 12 12 0 0 9 0 0 0 0 11 0 0 0 21 12 0 13 14 8 12 12 0 0 22 16 20 0 12 8 6 14 17 0 13 21474 17 173 0 15 11 8 10 16 17 7 17 10 10 10 9 5 11 11 20 0 0 21 9 0 10 10 12
"Roseateles" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lautropia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Limnobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oxalobacter" 15 10 12 71 45 0 0 0 69 0 0 8 0 0 0 0 4 8 0 26 0 0 0 0 35 23 0 0 0 0 11 0 0 0 0 0 0 0 0 0 23 14 0 22 48 52 0 0 0 0 0 6 0 26 0 0 0 0 25 112 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 25 4 0 0 17 0 0 0 93 102 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 8 17
"Parasutterella" 0 0 0 0 0 0 0 0 0 0 0 133 0 0 159 134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 51 50 0 0 7 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sutterella" 14 0 25 480 371 1924 17 2549 246 3374 1061 376 20 29 2046 1620 906 841 639 345 3466 1403 998 24 1190 152 281 349 326 222 33 13 1622 358 354 294 2093 464 34 34 118 194 627 28 21 165 81 900 27 13 661 509 465 213 301 112 1586 2052 608 1157 540 206 287 616 159 197 278 38 70 0 101 95 489 580 1264 12 3545 479 926 73 1700 654 2095 2504 1554 1789 1411 1060 3460 275 2728 1996 720 203 1504 1561 4496 291 4637 2484 2675 4596 1314 1591 31
"Turicimonas" 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 339 229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68
"Succinatimonas" 0 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0
"Succinivibrio" 8 0 13 29 20 10 11 11 13 8 14 11 15 9 52428 54467 18 10 10 1178 14 8 12 17 11 17 0 12 9 5 12 14 12 20 12 18 13 0 11 7 0 9 115 13 17 8 9 10 18 11 10 7 21829 238 3 5301 10 15 6 21 9 6 12 12 4 8490 64 0 9 9 13 12 40 12855 34685 5 17 19 12 16 2153 10 0 18 20 15 12011 9600 12 18 35242 8 0 3850 10 9 18 1166 26205 9897 12 15 8567 6452 12
"Arcobacter" 0 12 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Helicobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115 59 0 0 0
"Campylobacter" 4 0 0 109 103 4 4 0 0 0 0 7 0 0 0 0 0 5 0 0 0 0 0 0 43 0 6 5 43 0 0 78 0 5 0 0 7 0 72 0 0 0 0 0 0 0 0 4 0 4 4 0 0 0 0 4 15 0 0 0 0 4 0 0 0 0 10 0 0 0 0 0 0 7 0 8 4 0 0 0 0 0 3 6 23 20 0 4 0 10 0 0 0 0 0 0 23 0 0 0 2 3 0 0 3
"Candidatus_Rhabdochlamydia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TM7x" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Victivallis" 62 35 35 709 941 6 32 5 79 32 9 14 0 3 285 538 28 39 11 120 0 8 33 6 3 61 0 0 0 6 973 9 26 40 0 4 112 93 0 0 6 27 11 4 7 7 0 9 4 0 4 11 10 4 0 0 0 2 15 24 0 0 0 0 0 0 0 0 0 0 6 0 5 0 0 0 0 60 3 12 5 21 4 0 40 80 9 13 218 56 7 6 7 0 0 5 0 0 6 3 16 25 16 174 38
"Z20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Treponema" 0 0 0 15 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sneathia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oceanivirga" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Leptotrichia" 0 0 0 0 0 0 0 0 0 0 0 121 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudoleptotrichia" 0 0 0 27 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusobacterium" 839 35 12 441 1138 19 126 32 110 0 20 0 30 20 15 16 25 21 4836 37 42 27 24 25 37 37 15 4 46 26 505 15 830 40 29 33 103 12 3642 13 9 18 339 19 31 18 397 20 709 588 18 54 39 0 764 47 32 77 14 26 18 205 291 89 21 20 17 19 19 16 39 11 14 19 44 10 36 11 29 294 91 270 15326 16049 17645 12449 37 26 427 8 3852 24 12 13 77 75 26 984 9186 16336 25 30 222 244 1188
"Cetobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2772 1761 5 13 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0
"Solobacterium" 3 0 0 434 440 6 3 0 355 0 3 8 0 0 0 0 1163 1017 0 33 0 0 4 0 310 0 19 41 252 17 0 0 0 5 0 0 7 0 1091 49 0 99 3 0 0 0 0 160 0 0 0 96 16 0 0 10 4 3 0 2 10 0 2 82 2 0 118 0 111 0 0 2 0 0 0 0 0 0 0 42 0 0 499 410 295 218 0 0 0 0 0 0 0 0 44 63 6 0 4 6 0 0 0 0 5
"Erysipelotrichaceae_UCG-006" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 31 0 36 0
"Holdemania" 24 16 12 0 7 0 9 12 12 25 12 9 0 0 0 0 5 0 6 0 18 6 13 0 34 16 23 21 22 11 0 21 0 14 3 7 23 40 0 0 6 0 40 58 48 58 18 8 59 27 5 4 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 9 0 0 0 15 31 0 24 0 29 0 3 0 6 7 5 11 0 11 0 0 0 0 0 24 0 0 0 19 11 0 9 33
"Coprobacillus" 0 28 15 0 0 26 13 0 0 12 130 0 0 0 0 0 0 0 7 0 0 14 8 87 611 651 26 202 0 0 186 12 10 0 0 0 0 0 0 0 0 0 154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 121 34 0 0 0 0 17 0 607 8 0 10 0 0 0 0 0 0 0 0 0 0 0 12 0 126 170 46 33 0 13 0
"Longibaculum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Massiliomicrobiota" 0 0 0 0 0 0 0 0 0 0 0 0 107 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 6 0 0 0 0 0 0 0 3 0 7 0 0 0 0 0 0 0 0 0 0 0 0 5 14 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 6 0 0 0
"Thomasclavelia" 0 94 113 0 0 208 0 102 7 178 0 0 76 55 22 13 5 0 7 0 106 44 85 469 202 32 55 27 390 8 534 0 0 17 0 0 11 0 427 0 0 0 140 180 102 0 6 0 2487 2203 0 0 0 0 164 0 206 308 0 0 10 0 0 15 0 0 0 0 0 32 0 0 0 0 8 8 0 10 16 26 0 195 71 104 0 0 7 0 57 0 16 98 7 0 0 0 1357 0 0 0 204 105 0 0 0
"Erysipelotrichaceae_UCG-003" 458 274 181 320 452 21 1015 217 54 18 96 162 28 17 75 80 537 527 1588 17 406 688 1297 26 3712 207 89 14 439 563 32 814 643 674 29 19 748 656 16 143 160 17 2498 659 739 134 198 18 20 7 231 10 0 7 9 16 0 23 38 107 0 2 19 86 192 10 26 0 10 14 52 26 83 287 128 8 19 17 12 21 282 18 15 16 143 117 37 22 161 67 10 0 8 252 158 240 20 34 714 808 18 18 97 568 476
"Eggerthia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Catenibacterium" 0 0 0 10 6 0 0 7 5618 6 5846 4 0 0 0 7 0 0 0 3130 1167 0 6 0 16 778 0 4303 0 0 0 0 0 0 8 0 8 0 151 0 609 2402 0 0 0 0 0 3459 9 0 11 348 912 663 0 449 0 0 0 0 0 732 873 176 0 287 2533 13 755 0 588 216 0 0 0 1603 631 0 0 3565 0 33 0 0 60 53 186 85 740 0 1110 0 0 250 756 709 0 13 309 483 0 0 60 102 6
"Dielma" 0 0 6 0 0 39 0 0 0 8 0 0 0 0 0 0 0 0 6 0 0 0 0 13 0 0 0 0 34 13 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 13 18 0 0 0
"Merdibacter" 0 33 32 0 0 0 9 0 6 0 5 8 0 0 0 0 18 17 0 0 0 0 0 0 8 0 0 0 342 0 12 0 0 7 0 5 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Faecalitalea" 0 5 11 12 8 55 0 47 0 232 57 0 197 136 0 0 5 0 0 0 24 20 8 0 487 0 167 0 17 0 56 0 0 0 0 0 12 0 0 0 0 0 0 14 17 0 0 0 339 307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 95 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0
"Amedibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2541 1513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 65 0 0 0 0 0
"Absiella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 790 581 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 61 0 0 0 0 0
"[Clostridium]_innocuum_group" 0 22 13 0 0 119 0 11 0 0 0 0 27 16 0 0 0 0 0 0 0 0 0 75 23 0 28 0 0 0 103 0 9 0 8 0 28 8 0 0 0 0 9 114 57 0 0 0 79 47 0 0 0 0 7 0 0 0 0 0 52 8 26 0 0 0 0 7 0 33 0 0 0 12 0 0 10 0 0 0 0 150 46 81 0 0 0 0 0 0 0 0 0 0 0 0 219 0 24 35 0 0 0 0 6
"Catenisphaera" 0 0 0 1785 1843 0 0 0 0 0 0 0 0 0 81 106 0 0 0 321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Faecalicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 94 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Holdemanella" 571 1022 981 1901 1943 0 20 17 628 6 4232 977 21 17 71 119 2315 1895 0 13 2476 17 19 7 22 3216 0 11 17 1416 10 0 334 12 14 15 19 10 31 0 3663 1440 0 12 22 1025 222 1573 18 10 63 925 466 114 0 185 10 10 146 458 643 1350 1871 17 0 205 637 1801 204 13 13 14 0 16 17 157 2326 14 0 3017 5229 77 0 0 758 1129 560 252 1832 1704 689 0 65 355 306 730 0 0 15 13 11 11 240 560 799
"UCG-004" 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 411 0 6 4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 4 29 0 0 0 0 0 0 0 0 0 4 0 9 0 12 0 0 0 0 12 0 0 60 74 7 167 354 0 0 0 0 0 0 0 0 13 10 0 0 0 0 0 0 75 89 132 112 115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
