"ERR9830889" "ERR9830890" "ERR9830891" "ERR9830892" "ERR9830893" "ERR9830894" "ERR9830895" "ERR9830896" "ERR9830897" "ERR9830898" "ERR9830899" "ERR9830900" "ERR9830901" "ERR9830902" "ERR9830903" "ERR9830904" "ERR9830905" "ERR9830906" "ERR9830907" "ERR9830908" "ERR9830909" "ERR9830910" "ERR9830911" "ERR9830912" "ERR9830913" "ERR9830914" "ERR9830915" "ERR9830916" "ERR9830917" "ERR9830918" "ERR9830919" "ERR9830920" "ERR9830921" "ERR9830922" "ERR9830923" "ERR9830924" "ERR9830925" "ERR9830926" "ERR9830927" "ERR9830928" "ERR9830929" "ERR9830930" "ERR9830931" "ERR9830932" "ERR9830933" "ERR9830934" "ERR9830935" "ERR9830936" "ERR9830937" "ERR9830938" "ERR9830939" "ERR9830940" "ERR9830941" "ERR9830942" "ERR9830943" "ERR9830944" "ERR9830945" "ERR9830946" "ERR9830947" "ERR9830948" "ERR9830949" "ERR9830950" "ERR9830951" "ERR9830952" "ERR9830953" "ERR9830954" "ERR9830955" "ERR9830956" "ERR9830957" "ERR9830958" "ERR9830959" "ERR9830960" "ERR9830961" "ERR9830962" "ERR9830963" "ERR9830964" "ERR9830965" "ERR9830966" "ERR9830967" "ERR9830968" "ERR9830969" "ERR9830970" "ERR9830971" "ERR9830972" "ERR9830973" "ERR9830974" "ERR9830975" "ERR9830976" "ERR9830977"
"Desulfovibrio" 0 0 0 0 0 0 0 0 210 0 0 43 0 0 69 0 0 467 5 0 26 0 0 0 0 0 0 0 0 814 360 146 0 0 0 0 0 0 54 0 50 0 20 0 18 0 119 0 0 120 0 0 0 0 0 226 248 373 0 0 0 79 0 0 40 171 114 18 107 346 0 0 70 0 0 102 4 0 181 7 0 5 0 0 0 0 0 0 0
"Mailhella" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 0 0 0 0 0 0 3 0 0 0 0 5 77 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coxiella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0
"Pseudomonas" 0 0 0 0 0 11 14 11 2 0 0 0 0 0 0 3 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 17 0 7 0 0 0 3 0 0 15 0 27 8 0 9 5 0 6 8 0 0 0 0 0 0 9 6 0 0 0 3 0 0 0 4 0 0 0 0 4 27 0 4 0 17 0 0 17 0 0 0
"Marinobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"Koukoulia" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lysobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"Luteimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0
"Thermomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
"Stenotrophomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudoxanthomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 113 0 0 0
"Legionella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Salinicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Halomonas" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cavicella" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acinetobacter" 19 2 0 0 0 0 0 8 0 6 0 5 0 5 3 0 0 0 0 31 0 11 0 0 0 0 0 0 0 12 0 2 0 0 0 0 0 6 7 0 0 0 443 0 0 0 10 11 0 37 9 7 2 28 0 0 5 0 0 8 0 0 15 13 0 9 0 0 4 0 0 0 11 4 0 0 3 0 24 9 0 9 0 0 10 67 0 0 11
"Pseudidiomarina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aeromonas" 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 97 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 346 0 0 0
"Shewanella" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rheinheimera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0
"Alishewanella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Raoultella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Escherichia-Shigella" 590 24 5646 0 1163 73 205 68 1169 86 6 18 30 0 147 407 284 601 334 68 133 38 42 32 53 2881 291 24032 0 221 19181 144 23 343 0 112 66 53 769 1670 326 444 171 250 345 790 88 822 365 526 82 114 2412 2409 0 488 72 329 7 378 287 1444 44 73 0 11 680 142 0 7760 1003 0 81 23 0 140 52 0 54 8535 139 64 776 24 225 102 0 4759 2111
"Morganella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
