feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Candidatus_Soleaferrea	sample_type	healthy volunteer	-0.816695180860893	0.316513516826652	89	15	0.0115486617817596	0.038865688688614
Anaerotruncus	sample_type	healthy volunteer	-0.702686056403907	0.278326459476313	89	16	0.013394094294914	0.0442257830492443
Schaalia	sample_type	healthy volunteer	-1.13151264461248	0.450950946867893	89	46	0.0139542479349004	0.0452220997890289
Paludicola	sample_type	healthy volunteer	-0.84740348035256	0.338735917788975	89	20	0.0142327640905375	0.0452860675608011
Methanosphaera	sample_type	healthy volunteer	-1.45720398105587	0.587699714104441	89	26	0.0150843510956462	0.0471385971738944
CAG.352	sample_type	healthy volunteer	-1.7624271458049	0.722405589177605	89	71	0.0167308484102837	0.0513666398561341
Intestinimonas	sample_type	healthy volunteer	-1.27931031401845	0.533823887446087	89	53	0.0186940946109669	0.0564045958089519
Lachnospira	sample_type	healthy volunteer	1.02923869409726	0.431168566465027	89	86	0.0191484806584726	0.0567963409361476
Oribacterium	sample_type	healthy volunteer	-1.32084947415871	0.562214370113823	89	22	0.0210697803353254	0.0614535259780323
Mitsuokella	sample_type	healthy volunteer	1.57673401692749	0.674461781421846	89	54	0.0216942216754799	0.0622375212001473
Mogibacterium	sample_type	healthy volunteer	-1.46534703590128	0.633996361916285	89	36	0.023180964686405	0.0643915685733471
Papillibacter	sample_type	healthy volunteer	-0.4128468570235	0.178135879461038	89	12	0.0228188001642276	0.0643915685733471
S5.A14a	sample_type	healthy volunteer	-0.568222607296137	0.250639722829701	89	9	0.0258634844597292	0.0707204653195721
UCG.004	sample_type	healthy volunteer	1.16212783941249	0.517339918698493	89	52	0.0272136281411188	0.0710803720103849
DTU089	sample_type	healthy volunteer	-0.580285878809438	0.258086997653087	89	11	0.0270768312896184	0.0710803720103849
Lachnospiraceae_FCS020_group	sample_type	healthy volunteer	-1.02413276810524	0.454527208917433	89	70	0.0267622522863546	0.0710803720103849
Agathobacter	sample_type	healthy volunteer	0.911842966759062	0.410644832582254	89	89	0.0289821817979362	0.0745864972741006
X.Eubacterium._xylanophilum_group	sample_type	healthy volunteer	-1.14290501163565	0.516451614600815	89	34	0.0295154449408789	0.0748580125312146
Bacteroides	sample_type	healthy volunteer	-1.32200565902136	0.609808042117337	89	89	0.0328967214881716	0.0822418037204289
Massiliprevotella	sample_type	healthy volunteer	-1.65301269176562	0.771436015070616	89	29	0.0349239434128627	0.0852375769851423
Alistipes	sample_type	healthy volunteer	-1.73653596115774	0.811077959530486	89	69	0.03506917453103	0.0852375769851423
Pyramidobacter	sample_type	healthy volunteer	-0.454325718141574	0.213877679248615	89	10	0.0364884099169902	0.0862901585874769
Peptococcus	sample_type	healthy volunteer	-1.09221045046059	0.513924048534955	89	43	0.0364020372898578	0.0862901585874769
Faecalibacterium	sample_type	healthy volunteer	0.873205325800301	0.421926955730888	89	88	0.0414592679253738	0.0967382918258722
Prevotella	sample_type	healthy volunteer	-1.4040371255177	0.716870746973582	89	30	0.053367368974569	0.122885389086179
Segatella	sample_type	healthy volunteer	1.57091795965029	0.813253188918678	89	88	0.056658232740244	0.128768710773282
Lachnoclostridium	sample_type	healthy volunteer	-0.532824863682392	0.277218267694799	89	88	0.0578735215904032	0.129844439465648
Thomasclavelia	sample_type	healthy volunteer	-0.873062497920921	0.458888412729325	89	22	0.0604059799080068	0.133810714986091
Roseburia	sample_type	healthy volunteer	0.670150225714743	0.366419661858339	89	88	0.0708387003050173	0.154959656917225
Raoultibacter	sample_type	healthy volunteer	-0.386149485587569	0.212772270603082	89	10	0.0729933436466202	0.157701668372328
Klebsiella	sample_type	healthy volunteer	-1.27841706627504	0.708060579277623	89	70	0.0744523344822807	0.15889217724877
Blastocystis	sample_type	healthy volunteer	-0.451753949442542	0.261370509832129	89	12	0.0874633472014217	0.184410671810226
Sutterella	sample_type	healthy volunteer	-0.704988315676111	0.419114094240926	89	82	0.0961372275134664	0.197929586057137
Tractidigestivibacter	sample_type	healthy volunteer	-0.778935889885651	0.4629465135298	89	27	0.0960458719489826	0.197929586057137
Moryella	sample_type	healthy volunteer	-0.727414915753203	0.434610239165983	89	44	0.0977779521131197	0.198966763020883
Prevotellaceae_UCG.003	sample_type	healthy volunteer	-0.612820574752433	0.368568359440845	89	9	0.0999702719338604	0.201089627453167
X.Ruminococcus._gnavus_group	sample_type	healthy volunteer	-0.714052510508198	0.439599435960149	89	19	0.107924126915419	0.214621843297707
Dialister	sample_type	healthy volunteer	0.747678573785803	0.469379807820756	89	81	0.114807914202971	0.225745898713707
