feature	Methanobrevibacter	Akkermansia	Sphingobium	Pseudomonas	Desulfovibrio	Mailhella	Bilophila	Acinetobacter	Morganella	Escherichia.Shigella	Klebsiella	Aeromonas	Haemophilus	Comamonas	Oxalobacter	Sutterella	Succinivibrio	Campylobacter	Victivallis	Fusobacterium	Solobacterium	Holdemania	Coprobacillus	Massiliomicrobiota	Thomasclavelia	Erysipelotrichaceae_UCG.003	Catenibacterium	Dielma	Merdibacter	Faecalitalea	X.Clostridium._innocuum_group	Holdemanella	UCG.004	Asteroleplasma	Anaeroplasma	Weissella	Leuconostoc	Parageobacillus	Turicibacter	Staphylococcus	Granulicatella	Enterococcus	Ligilactobacillus	Lacticaseibacillus	Lactobacillus	Limosilactobacillus	Lactococcus	Streptococcus	Rikenellaceae_RC9_gut_group	Alistipes	Bacteroides	Massiliprevotella	Prevotellaceae_NK3B31_group	Leyella	Hoylesella	Prevotella	Segatella	Paraprevotella	Alloprevotella	Parabacteroides	Porphyromonas	CAG.873	Gabonibacter	Butyricimonas	Odoribacter	Barnesiella	Coprobacter	Zag_111	CAG.196	Corynebacterium	Schaalia	Bifidobacterium	Actinomyces	Rothia	Eggerthella	Raoultibacter	Gordonibacter	Slackia	Senegalimassilia	Adlercreutzia	Tractidigestivibacter	Collinsella	Parolsenella	Olsenella	Lancefieldella	Thermus	Phascolarctobacterium	Acidaminococcus	Veillonella	Dialister	Allisonella	Megasphaera	Mitsuokella	Megamonas	Cloacibacillus	Gemella	Eubacterium	Peptococcus	Christensenellaceae_R.7_group	Clostridium	Family_XIII_AD3011_group	Mogibacterium	Family_XIII_UCG.001	X.Eubacterium._brachy_group	Peptostreptococcus	Intestinibacter	Romboutsia	Terrisporobacter	Peptoniphilus	Murdochiella	Finegoldia	Parvimonas	Fenollaria	Ezakiella	Anaerococcus	Lachnospiraceae_UCG.010	Defluviitaleaceae_UCG.011	Ruminiclostridium	Monoglobus	Agathobaculum	UCG.008	UCG.009	Flavonifractor	Intestinimonas	NK4A214_group	Colidextribacter	UCG.002	UCG.003	Oscillibacter	Oscillospira	UCG.005	X.Eubacterium._siraeum_group	Ruminococcus	Paludicola	Negativibacillus	Anaerotruncus	Angelakisella	Hydrogenoanaerobacterium	Phocea	Candidatus_Soleaferrea	CAG.352	Acutalibacter	DTU089	Fournierella	Gemmiger	Faecalibacterium	Ruthenibacterium	Eisenbergiella	Dorea	X.Ruminococcus._gnavus_group	Howardella	Butyribacter	Agathobacter	Roseburia	Catenibacillus	GCA.900066575	Moryella	Anaerostipes	X.Eubacterium._ruminantium_group	Anaerobutyricum	X.Eubacterium._xylanophilum_group	X.Eubacterium._eligens_group	Lachnospira	Lachnospiraceae_ND3007_group	X.Eubacterium._ventriosum_group	Lachnospiraceae_UCG.008	Lachnospiraceae_NK4A136_group	Oribacterium	Lachnospiraceae_UCG.004	Lachnospiraceae_FCS020_group	Butyrivibrio	Lachnoclostridium	Faecalimonas	Enterocloster	Hungatella	Sellimonas	Extibacter	X.Ruminococcus._gauvreauii_group	Blautia	CAG.56	Fusicatenibacter	Coprococcus	Tyzzerella	Faecalicatena	Mediterraneibacter
ERR3928942	0	6124	0	35	822	582	22	12	18	883	90	0	11	14	0	1061	14	0	9	20	3	12	130	0	0	96	5846	0	5	57	0	4232	0	0	4	0	10	0	0	0	0	26	0	0	0	0	31	208	0	7834	15790	14	0	0	0	0	888	789	0	3007	32	0	0	236	129	21	42	0	0	0	48	96	0	0	0	8	1	1343	2682	973	0	1580	0	0	0	0	517	0	0	22	0	7	0	9	7	8	14	1011	5432	54	170	234	124	4	0	14	166	0	5	0	0	12	10	0	0	201	0	55	170	737	14	85	62	17	798	389	4109	66	144	197	2810	81	1061	13	177	0	42	0	0	4	6331	311	17	11	5753	8158	70	0	3035	0	56	0	8434	1021	9	40	31	1704	580	1982	116	343	255	440	0	135	754	0	286	191	0	278	43	116	0	0	0	184	8787	518	559	1264	0	0	1378
ERR3928943	146	401	0	45	481	0	72	0	21	1833	76	0	226	420	8	376	11	7	14	0	8	9	0	0	0	162	4	0	8	0	0	977	0	0	6	0	4	0	321	0	20	0	0	0	0	50	66	401	6	3643	18103	978	0	0	0	0	142	2401	0	1753	15	7	19	82	389	486	223	0	92	0	267	241	118	11	0	0	0	73	54	14	0	455	0	0	17	0	185	230	669	305	0	0	0	0	48	0	0	0	3709	601	45	26	29	13	0	459	632	473	0	0	5	0	0	0	0	70	12	0	183	193	735	27	18	12	228	54	2188	156	40	97	1403	81	2580	0	34	5	27	14	0	0	799	414	0	0	1346	12523	22	0	640	0	21	111	5827	283	0	29	0	192	0	724	2051	1677	878	381	330	50	1299	13	86	87	1057	157	27	29	0	0	79	93	4037	112	292	1505	0	49	806
ERR3928944	0	24	0	27	11	0	17	6	0	648	69	18	25	12	0	20	15	0	0	30	0	0	0	107	76	28	0	0	0	197	27	21	0	0	5	0	0	0	19	0	0	34	0	0	0	0	0	134	13	5226	29056	32	0	52	0	7	31257	21	0	3208	30	7	0	9	7	17	0	0	13	0	11	91	0	0	236	0	40	0	0	103	0	1937	0	0	0	0	2731	2769	0	42	24	3801	0	0	0	8	0	0	248	54	8	0	0	16	0	11	30	0	0	0	5	0	0	0	0	17	0	0	0	637	0	0	596	82	88	575	101	24	342	0	95	44	34	0	0	27	0	0	0	0	177	128	36	0	117	6833	183	47	1821	635	0	0	7537	125	62	35	0	2283	0	842	0	27	29	357	139	0	66	0	0	0	0	262	116	1918	0	113	46	0	12595	502	1272	2329	334	0	3074
ERR3928945	0	20	0	23	0	0	9	5	0	397	60	15	10	9	0	29	9	0	3	20	0	0	0	76	55	17	0	0	0	136	16	17	0	0	5	0	0	0	10	0	12	31	0	0	0	0	0	126	4	3290	18672	0	7	11	0	11	33177	10	4	1960	19	0	0	0	0	13	0	0	4	0	7	56	0	0	192	0	47	0	0	120	0	2029	0	0	0	0	1192	1400	0	0	25	1890	0	4	0	0	0	0	151	20	8	0	0	19	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	463	0	0	268	27	33	251	78	0	198	0	37	0	17	0	0	15	0	0	0	0	109	78	22	0	75	5499	132	25	1331	385	0	0	8514	42	68	31	0	2090	0	808	0	17	0	304	125	0	26	0	0	0	0	152	55	1028	0	77	43	0	11301	414	1036	1554	228	0	2260
ERR3928946	31	31	0	68	1665	0	190	11	13	1066	126	25	28	24	0	2046	52428	0	285	15	0	0	0	0	22	75	0	0	0	0	0	71	0	2584	1033	0	0	0	8	0	0	0	0	0	0	0	0	69	10	4764	6243	1149	0	0	0	13	227	5129	0	2562	42	0	0	236	62	2128	64	1877	606	0	9	461	0	0	0	0	0	15	62	61	0	375	62	4	0	0	410	0	9	2169	11	0	0	10	0	0	0	5	2186	917	218	15	57	0	0	16	19	0	4	0	5	0	0	0	4	389	16	0	38	364	1153	0	70	222	236	122	11006	285	168	30	655	289	199	0	0	0	12	0	0	9	413	116	11	69	880	4179	58	0	1121	16	13	0	680	497	0	16	76	1839	0	525	337	953	244	80	30	126	872	0	48	41	0	177	47	106	0	0	39	629	5167	23	3034	1375	0	0	319
ERR3928947	42	0	0	41	1177	0	64	0	0	657	101	19	17	15	0	1620	54467	0	538	16	0	0	0	0	13	80	7	0	0	0	0	119	0	2424	1393	0	0	0	0	0	0	20	0	0	0	0	0	72	7	3903	4504	896	0	0	0	13	191	3576	0	1661	22	0	0	224	45	1814	47	1829	630	0	0	406	0	0	0	0	0	14	61	72	0	371	57	0	0	0	193	0	7	985	11	0	0	0	0	0	0	0	1465	1231	205	21	34	0	0	8	21	0	0	0	4	0	5	0	3	217	6	0	28	211	628	0	34	40	177	73	3000	144	60	17	188	277	209	0	0	0	0	0	0	0	384	85	14	43	783	3423	29	0	377	16	14	0	695	422	0	7	32	1362	0	410	700	592	79	71	19	66	426	0	55	27	0	105	20	32	0	0	29	310	2603	16	1441	798	0	0	221
ERR3928948	0	34	0	39	204	169	70	0	0	612	48	17	98	11	4	906	18	0	28	25	1163	5	0	0	5	537	0	0	18	5	0	2315	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	843	7	321	6006	28	570	6772	0	0	50267	782	0	1328	23	0	5	33	70	21	5	0	6	0	31	693	0	0	0	0	0	235	217	0	0	755	0	0	0	0	1409	631	46	105	34	0	0	6	0	5	0	0	429	62	19	156	38	8	0	9	19	0	5	0	0	0	5	0	0	477	0	0	279	856	0	17	13	0	20	130	1070	224	81	26	191	0	388	0	117	0	11	0	0	0	109	58	0	0	2616	14423	13	0	1501	0	24	742	11558	2794	0	69	71	310	377	475	13	53	1899	546	206	217	1391	0	557	89	0	866	49	294	0	0	0	230	4667	0	463	1426	0	0	1205
ERR3928949	0	33	0	24	198	276	41	0	14	552	69	16	101	7	8	841	10	5	39	21	1017	0	0	0	0	527	0	0	17	0	0	1895	0	0	2	0	9	0	23	0	0	18	0	0	0	0	0	889	4	393	2649	7	303	407	0	0	3626	92	0	944	20	0	0	62	78	16	0	0	0	0	45	764	9	0	0	0	0	291	238	7	0	713	0	0	0	0	1057	396	13	96	23	0	0	0	0	9	0	0	494	37	36	214	13	6	0	16	29	0	0	0	9	0	7	0	6	122	10	0	173	769	0	11	12	7	52	201	1479	301	93	28	207	11	16	0	0	0	0	0	0	0	100	62	0	0	1377	1976	8	0	1070	8	24	724	9339	2100	0	13	0	290	359	445	0	73	2248	109	0	91	377	0	440	39	0	174	17	353	0	0	0	27	739	0	353	951	0	0	119
ERR3928950	0	46	0	35	7	0	314	0	9	498	63	11	12	9	0	639	10	0	11	4836	0	6	7	0	7	1588	0	6	0	0	0	0	0	2	0	0	0	0	9	0	0	30	0	0	0	0	5	134	0	2160	35395	0	6	0	0	6	9368	0	0	2867	11	5	0	391	113	416	0	853	0	0	0	820	0	0	0	0	0	101	0	87	0	546	0	0	0	0	1245	0	0	10	17	0	0	3	0	0	0	0	691	18	10	0	0	17	0	0	18	0	4	0	7	0	0	0	0	363	0	0	92	327	0	22	33	0	33	121	2295	219	96	29	104	79	615	0	181	0	13	0	16	5	93	102	0	0	1266	13696	20	0	691	107	0	79	2001	8122	0	44	0	570	204	226	202	310	168	215	210	22	2178	0	119	74	0	465	36	168	0	0	0	404	6432	252	540	1616	0	0	501
ERR3928951	368	13	0	16	764	19	38	0	0	239	38	0	12	0	26	345	1178	0	120	37	33	0	0	0	0	17	3130	0	0	0	0	13	411	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1797	13	2098	43	3202	836	0	4	12360	191	0	473	6	46	12	85	15	55	0	28	0	0	0	242	0	0	0	0	0	50	177	44	46	298	41	0	0	0	143	84	0	285	0	3902	11	0	10	0	0	19	1435	0	202	0	18	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	40	0	280	0	38	598	101	3363	48	30	0	282	0	238	0	0	0	11	0	0	391	586	153	0	0	373	1117	30	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	10	0	0	124	0	0	0	69	0	0	0	0	0	0	0	38	0	0	0	0	0	0
