feature	g__Acidaminococcus	g__Actinomyces	g__Adlercreutzia	g__Aeriscardovia	g__Agathobaculum	g__Aggregatibacter	g__Akkermansia	g__Alistipes	g__Allisonella	g__Anaeromassilibacillus	g__Anaerostipes	g__Anaerotignum	g__Anaerotruncus	g__Asaccharobacter	g__Atopobium	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Butyricimonas	g__Catabacter	g__Christensenella	g__Citrobacter	g__Cloacibacillus	g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	g__Clostridiales_unclassified	g__Clostridium	g__Collinsella	g__Coprobacillus	g__Coprobacter	g__Coprococcus	g__Denitrobacterium	g__Desulfovibrio	g__Dialister	g__Dielma	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Enterobacter	g__Enterococcus	g__Enterorhabdus	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Faecalitalea	g__Firmicutes_unclassified	g__Flavonifractor	g__Fretibacterium	g__Fusicatenibacter	g__Fusobacterium	g__Gemella	g__Gemmiger	g__Gordonibacter	g__Granulicatella	g__Haemophilus	g__Harryflintia	g__Holdemanella	g__Holdemania	g__Hungatella	g__Intestinibacter	g__Intestinimonas	g__Klebsiella	g__Lachnoclostridium	g__Lachnospira	g__Lachnospiraceae_unclassified	g__Lactobacillus	g__Lactococcus	g__Lactonifactor	g__Lawsonibacter	g__Megamonas	g__Megasphaera	g__Methanobrevibacter	g__Mogibacterium	g__Odoribacter	g__Olsenella	g__Oribacterium	g__Oscillibacter	g__Oxalobacter	g__Parabacteroides	g__Paraprevotella	g__Parasutterella	g__Parvimonas	g__Peptostreptococcus	g__Phascolarctobacterium	g__Porphyromonas	g__Prevotella	g__Proteobacteria_unclassified	g__Pseudoflavonifractor	g__Pyramidobacter	g__Romboutsia	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Scardovia	g__Sellimonas	g__Slackia	g__Solobacterium	g__Streptococcus	g__Sutterella	g__Turicibacter	g__Turicimonas	g__Tyzzerella	g__Veillonella	g__Weissella
ERR1018194	0	0.00586	0.00039	0	0.15053	0	0.34277	2.01058	0.00863	0.00567	0.01755	0.13991	0.14027	0	0	17.39075	0	0.03961	0.18848	0.85512	0.12847	0	0	0	0	0	0	0.00713	0.78803	0.01672	0	0.55188	0	0	0.00175	0	0.82855	0.04358	0.00161	0.00152	0	0	0	0.0319	7.07911	5.23212	0.60446	0	0.48964	0.10296	0	0.21032	0.05446	0.05118	0.44185	0.01031	0	0.73382	0.00558	0.07167	0	0.00433	0	0.01153	28.03882	0.05575	0.00622	0	0.54735	0	0	0	0	0.00214	0	0.00051	0	0	0	0.10178	0	5.09463	0	0.65167	0.00244	0	1.61958	0	13.96757	0.51089	0	0	0	3.77224	0.02685	0.01052	1.23879	0.24034	0	0	0	0	4.46443	0	0	0.07163	0.18528	0.58573	0
ERR1018193	0	0	0	0	0.0398	0	0.00594	2.05018	0	0	0.01928	0	0	0	0	37.97425	0	0.13019	0.07799	0.449	0.25922	0	0	0	0.00287	0	0	0.02701	0.17983	0	0	0	0	0.17975	0.00021	0.01508	0.1867	0.01073	0.00052	0.00154	0	0	0	0.00228	37.61745	1.50745	0.12673	0	0.33875	0.19136	0	0.14638	0.27301	0	0	0.00758	0	0	0	0	0.00092	0.00684	0	0.00309	0.34704	0.06294	5.37524	2.89	0.00014	0	0	0.00163	1.12875	0.02273	0	0	0.41525	0	0	0.22224	0.00218	1.5733	0	0.05057	0	0	0.00726	0	0.00393	0.09603	0	0	0.0023	5.71441	0	0	0.00366	0.0715	0	0	0	0	0.00848	0	0	0.10483	0.06373	0	0
ERR1018192	0.00977	0.00178	0	0.00253	0	0.0193	0.00178	0	0	0	0	0	0.00547	0	0	46.31315	0	21.1718	0.02714	4.09629	0	0	0	0	0	0	0	0.00199	0	0	0	0.07109	0	0	0.00735	0	0	0.24022	0.00192	0	0	0.00117	0.00071	1.05209	0.58162	12.8391	0.00222	0	0.22602	1.73541	0	0	0.34983	0.13144	0	0.04678	0	0.00555	0	0	0	0.04951	0.13526	0	0.00213	0.33375	0	0	0	0	0	0	0.0075	4.37937	0	0	0	0	0	0	0	3.34576	0	0	0.2257	0.15434	0.72958	0	0	0	0	0	0	0.30607	0.02533	0.09855	0	0.08784	0	0	0	0	0.05985	0.0074	0	0	0	0.03624	0
ERR1018191	0	0.10757	0.16452	0	0.30319	0	0.00206	0.23871	0	0.13722	0.79352	0	0	0.06194	0.08917	2.83157	0	10.20044	0	0.91468	0	0	0	0	0	0.00312	0	1.11925	5.12372	0	0	0.51971	0	0	3e-04	0	1.0887	0.06121	0	0.70583	0	0.38679	0.00793	0.11832	9.90878	37.01931	0.0043	0	0.04991	0.47476	0	0.18501	0	0.00756	0	0.26497	0	0	0	0.00026	0	0.20348	0.15382	0	0.04271	0.43486	0	0	1.57372	0	0	0	0	0	0	0.00424	0	0.01238	0	0	0	0.07411	0	0	0.00376	0.00206	0.35257	0.02848	0.04333	0	0	0	0	0.15494	0	0.02559	12.83252	8.37848	0.00324	0.03806	0	0	0.49447	0	0.00107	0	0	0.0051	0.00307
ERR1018190	0	0	0.16916	0	0.78329	0	0.00434	7.34347	0	0	0.87141	0	0.00816	0.06254	0	60.04774	0	0.05265	0.3771	0.89382	0	0	0	0	0	0	0	0.13671	0.00887	0	0	1.37684	0	0	0.00214	0	0.75957	0.7817	0.05461	0.00036	0	0	0.01283	0.11964	2.07608	0.38251	0.70579	0	2.86596	0.03984	0	0.23923	0	0.00131	0	0.15647	0	0	0	0	0	0.11988	0	0.03137	0.2715	1.02652	0.1725	2.17536	0.0037	0	0	0	0	0	0.00121	0	0	0	0	0.10623	0	12.378	0	0	0.00632	0.0012	0.04259	0	0.06058	0	0	0	0	0.28914	0	0.00431	2.87348	0.04274	0	0.00699	0	0	0.05109	0	0	0	0	0.00113	0
ERR1018189	0	0.00076	0.0117	0.00365	0	0	11.79954	5.24368	0	0.02108	0.23939	0	0	0.00271	0	20.80324	0.12419	15.25757	0.12601	0.81681	0.39677	0.0216	0.01986	0	0.07207	0	0	0.1736	0.8961	0	0.09222	0.30846	0	0	1.36864	0	0.39077	0.0113	0.00691	0.00699	0	0	0.00065	0.20822	0.20423	16.93017	2.26538	0	2.88917	0.01375	0	0.40264	0	0.01602	0.08111	0.1587	0	0.0121	0.00123	0	0	0.0058	0.05993	1.13139	0.35656	0.35774	4.44448	1.09315	0.00088	0	0	0	0.01654	0	0	0.0016	0	0	0	1.43323	0	1.42911	0	0	0.40158	0.0258	1.49715	0	0.3825	0	0	0	0	0.32412	0	2.96123	2.14391	0.27652	0	0	0	0.0373	0.05663	0.00258	0	0	0	0.00577	0
ERR1018188	0	0.01566	0.15313	0	3.05137	0	4.83346	3.56477	0	0.03321	0.92877	0	0.02145	0.0606	0	13.1626	0	2.71436	0.44307	3.81534	0.03969	0.00737	0.00588	0	0.02275	0.01847	0	0	2.46125	0.32937	0.10367	0.86434	0.00154	0	0.18901	0	2.67008	0.60054	0.05175	0.01778	0	0	0.01169	0.12534	0.84929	5.47761	3.83427	0	3.68296	0.01779	0	0.99575	0.02722	0.01023	0.23098	0.25279	0	0	0.00452	0.23501	0	0.03984	0.00525	0	0.02545	0.75784	0	0	0	0.0024	0.00121	0	0	0	0.00253	0	0	0	0	0.01123	0.21855	0.39614	0.95587	0	0.49318	3.28204	1.32346	0	5.01132	0	0	0	0	0.29277	0	0.13974	28.02488	0.91034	0	0	0.12405	0.01499	0.78169	0	0	0	0	0	0
ERR1018187	0	0.10478	0.00073	0.00748	0.11559	0	0.01233	0.15712	0	0.22207	0.65471	0	0.00431	0.00073	0	0.77569	0.06222	31.69421	0.00561	0.84416	0.01105	0.08236	0.0606	0	0	0	0	0	13.31235	0	0	0.36528	0.00406	0.07221	0.19992	0	3.7816	0.08174	0.06485	0.07764	0	0	0.00273	0.05323	0.34466	10.30444	0.81107	0	0.09913	0.0058	0	0.76712	0.0752	0.71639	0.24121	0.02028	0	0.00124	0.05478	0	0	0	0.0918	0	0	0.01612	0.19557	0.01889	0.01258	0	0	0	0.24416	0	21.39462	0.00853	0.0123	0.04812	0	0.3132	0	1.26074	0.07098	0	1.93558	0.29142	0.11813	0.69594	2.0351	0	0	0	0.0023	1.41975	0	0.12801	0.00615	0.2785	0	0.00386	1.50583	0	0.39345	0	0.01567	0	0	0	0
ERR1018186	0.00373	0	0	0	0.38061	0	11.06871	0.33535	0	0	0.19468	0	0.04367	0	0	35.24176	0	0.58187	0.02545	0.86613	0.27718	0.04297	0.02187	0	0	0	0.00246	0.06341	0.05649	0.0319	0	0.59425	0	0.7304	0.23435	0.14231	0.58134	0.3802	0.17724	0.02562	0	0	0.00303	0.06744	0.35194	18.4832	5.21829	0	3.31125	0.4435	0.00115	0.17087	0.40677	0.097	0.97732	0.2225	0	0.24602	0	0	0	0.02118	0.23573	0.06485	6.03172	0.17061	0	0	0	0	0	0.0392	0.01348	0.00491	0	0	0.06013	0	0	0.15202	0.04404	0.3295	0	0.00033	0.52453	0.00072	0.38206	0	0.70805	0	0	0	0.00091	7.28596	0	0.07593	0	1.15913	0	0	0	0.07806	0.19641	0	0.01821	0	0	0.29008	0.0074
ERR1018185	0.26236	0.17246	0.18895	0	0.27263	0	25.50358	2.81068	0	0.00592	2.61833	0	0	0.06489	0	6.3027	1.37743	1.23748	0.07808	1.27765	0.21192	0	0	0.02943	0.01352	0.00452	0	3.49908	2.3407	0	0	1.74424	0.00149	1.64335	0.27195	0	1.64596	0	0.00082	0.01356	0	0.01648	0.00569	0	20.76398	2.65903	3.67129	0.00253	1.96107	0	0	0.65382	0	0.42307	0.5451	0.02445	0.03071	0	0.00689	0	0.02538	0	0	0.00414	0.44677	0.01935	0	1.46853	0	0	0	0.04502	0.09236	0	0.03362	0	0.37243	0.14974	0	1.0434	0.16345	0.73953	0.82006	0	1.39772	0.41438	2.22972	0	1.57732	0	0	0	0	1.15615	0	1.06145	0.12495	0.13646	0	0	0.57849	0.24715	0.10532	0	0	0	0	0.06174	0
