feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Aeriscardovia	config	control	-0.789689963928771	0.239995681912781	128	25	0.00129757401523865	0.0488625106431652
g__Klebsiella	config	control	-2.56251963154603	0.769797800465728	128	91	0.0011438971996901	0.0488625106431652
g__Romboutsia	config	control	-1.25852584086541	0.383757702658094	128	39	0.00134483974247244	0.0488625106431652
g__Escherichia	config	control	-2.08287670060328	0.67533292456771	128	122	0.00250852804572927	0.0683573892461225
g__Bifidobacterium	config	control	-1.88215225748378	0.662235210129353	128	123	0.00522913424937195	0.113995126636308
g__Turicibacter	config	control	-1.12661521206544	0.500760971771069	128	25	0.0261962904269786	0.475899276090111
g__Akkermansia	config	control	-1.84453804836971	1.04526648889534	128	75	0.0800442748045167	0.759774200681117
g__Clostridiales_unclassified	config	control	0.360929562669795	0.196968423445725	128	15	0.0692495511414441	0.759774200681117
g__Intestinimonas	config	control	1.46725088899038	0.806843448053934	128	61	0.0713617206887189	0.759774200681117
g__Paraprevotella	config	control	0.901913096021559	0.455265652596154	128	20	0.0497611306105491	0.759774200681117
g__Ruminococcus	config	control	1.66644718520093	0.892846480724134	128	121	0.0643040205609772	0.759774200681117
g__Sellimonas	config	control	1.00850097761762	0.578357872361274	128	34	0.0836448661300312	0.759774200681117
g__Harryflintia	config	control	-0.718948442425518	0.440998342754059	128	37	0.105540785981639	0.76692971146658
g__Lactobacillus	config	control	1.44141453959266	0.87473142758797	128	78	0.101877714779935	0.76692971146658
g__Pseudoflavonifractor	config	control	0.635760865157923	0.387639313077345	128	20	0.103482034299582	0.76692971146658
g__Allisonella	config	control	-0.576629697508463	0.374893359738286	128	32	0.126527626146331	0.811265367644121
g__Gordonibacter	config	control	-0.860318855182744	0.555991732368787	128	112	0.124284740021068	0.811265367644121
g__Anaeromassilibacillus	config	control	-1.05540288026587	0.792873471464368	128	59	0.185555906047914	0.829631642945111
g__Clostridium	config	control	0.953465576932478	0.769723295511862	128	106	0.217754829412541	0.829631642945111
g__Coprobacillus	config	control	-0.516047091352824	0.444879508338107	128	34	0.248254107111097	0.829631642945111
g__Coprobacter	config	control	0.695693271656924	0.543564435195923	128	30	0.202941411904743	0.829631642945111
g__Faecalibacterium	config	control	0.754541208209163	0.587662668848226	128	125	0.201508487280923	0.829631642945111
g__Flavonifractor	config	control	0.571385095583712	0.490628168218835	128	121	0.246381588676513	0.829631642945111
g__Gemella	config	control	-0.707205941064338	0.604177474870955	128	102	0.24399812761294	0.829631642945111
g__Granulicatella	config	control	-0.388138285845562	0.297040567723191	128	14	0.193699867074001	0.829631642945111
g__Lachnoclostridium	config	control	0.746688749278755	0.6132633607458	128	119	0.225664183670981	0.829631642945111
g__Lachnospira	config	control	-1.22388461599466	0.952884240963607	128	67	0.20135848627865	0.829631642945111
g__Lactococcus	config	control	-0.46562538218215	0.347397463416094	128	15	0.182551650453541	0.829631642945111
g__Megasphaera	config	control	-1.20208940224148	0.885902037407523	128	55	0.17723571255951	0.829631642945111
g__Oscillibacter	config	control	0.990136874126584	0.797264078066754	128	92	0.216573413733579	0.829631642945111
g__Parasutterella	config	control	0.925085761262808	0.802465269408905	128	41	0.251172882726501	0.829631642945111
g__Tyzzerella	config	control	0.707138722241259	0.542480838139322	128	31	0.194771461699382	0.829631642945111
g__Weissella	config	control	-0.352491807825748	0.271420058661196	128	13	0.196420460894077	0.829631642945111
g__Butyricimonas	config	control	0.932212593359592	0.828962117989391	128	77	0.262915869197277	0.840560468442416
g__Holdemania	config	control	0.841649693960932	0.759503823330629	128	72	0.269904737573253	0.840560468442416
g__Coprococcus	config	control	0.7358778006842	0.676740877762969	128	109	0.278942456953046	0.844575772441168
g__Eggerthella	config	control	-0.726929862836266	0.690107914820631	128	98	0.294193297382106	0.866677551747286
g__Scardovia	config	control	0.268223373664921	0.259582302179135	128	13	0.303448165068022	0.870417105063536
g__Olsenella	config	control	-0.739446800474667	0.743185087132984	128	53	0.321657833623347	0.898992406793456
g__Actinomyces	config	control	-0.585840746624577	0.748792931449148	128	71	0.435459055786392	0.924040626524815
g__Adlercreutzia	config	control	-0.662247226340431	0.782225663353717	128	81	0.398812540050769	0.924040626524815
g__Alistipes	config	control	0.298969043729433	0.888090704599639	128	117	0.736946478440256	0.924040626524815
g__Anaerostipes	config	control	-0.409193524836579	0.601449735421356	128	121	0.497534040891203	0.924040626524815
g__Anaerotignum	config	control	0.256484791864897	0.537264655295884	128	18	0.633911459868577	0.924040626524815
g__Anaerotruncus	config	control	0.177149245686824	0.608532754208665	128	76	0.771446761594112	0.924040626524815
g__Asaccharobacter	config	control	-0.647916231054095	0.755810978936531	128	75	0.392936293891514	0.924040626524815
g__Bacteroides	config	control	0.287648011339859	0.326332645926468	128	128	0.379749188996562	0.924040626524815
g__Barnesiella	config	control	-0.304969084679351	0.700911727412637	128	37	0.664231723412422	0.924040626524815
g__Bilophila	config	control	-0.441484461910394	0.767265983009607	128	107	0.566047299775748	0.924040626524815
g__Blautia	config	control	-0.108675496725642	0.346880159193781	128	128	0.754575269637271	0.924040626524815
g__Catabacter	config	control	-0.245150406144779	0.4827263412794	128	55	0.612449550444705	0.924040626524815
g__Citrobacter	config	control	-0.272665573610236	0.536463729279979	128	24	0.612156431254967	0.924040626524815
g__Cloacibacillus	config	control	0.356606338231229	0.763504968286441	128	53	0.641260145348991	0.924040626524815
g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	config	control	-0.204583163691012	0.325586918443898	128	25	0.530910764201902	0.924040626524815
g__Collinsella	config	control	0.233069672337502	0.787545836643053	128	117	0.767759837221939	0.924040626524815
g__Dialister	config	control	-0.464327438155424	1.14738425288101	128	86	0.686396367856703	0.924040626524815
g__Dielma	config	control	0.232473727278583	0.579671650698671	128	37	0.68906715372414	0.924040626524815
g__Enorma	config	control	-0.239375587689844	0.509918232191737	128	110	0.639567105737108	0.924040626524815
g__Enterobacter	config	control	-0.278194084218185	0.394579240309797	128	20	0.482086717834297	0.924040626524815
g__Enterococcus	config	control	0.339310708759314	0.560453570049332	128	31	0.545987822644541	0.924040626524815
g__Enterorhabdus	config	control	-0.518157377316489	0.559957243037136	128	75	0.356551905636298	0.924040626524815
g__Erysipelatoclostridium	config	control	-0.370267415314096	0.803898408669608	128	106	0.645886872588691	0.924040626524815
g__Faecalitalea	config	control	0.430378540018418	0.471000697388988	128	17	0.362591585590525	0.924040626524815
g__Firmicutes_unclassified	config	control	0.50216094650367	0.736603509275901	128	105	0.496664103350377	0.924040626524815
g__Fretibacterium	config	control	-0.0679742585718567	0.23187293700178	128	18	0.769887431876336	0.924040626524815
g__Fusobacterium	config	control	0.320132315266413	0.87790892577544	128	64	0.715981578559801	0.924040626524815
g__Haemophilus	config	control	0.619055864529396	0.715470754619953	128	75	0.38854998143177	0.924040626524815
g__Holdemanella	config	control	-0.392466860654715	0.829448512208361	128	31	0.636913427677092	0.924040626524815
g__Lachnospiraceae_unclassified	config	control	0.450061355364784	1.05519594872671	128	104	0.67045737038136	0.924040626524815
g__Lactonifactor	config	control	0.213633699899538	0.4099282944474	128	18	0.603177752207101	0.924040626524815
g__Lawsonibacter	config	control	0.286060506131135	0.734230718268203	128	70	0.697485846226887	0.924040626524815
g__Megamonas	config	control	-0.790793723894201	1.06362233111583	128	55	0.458568534326075	0.924040626524815
g__Methanobrevibacter	config	control	-0.364620962547475	0.677145630147464	128	32	0.5912042871273	0.924040626524815
g__Odoribacter	config	control	0.221372173251685	0.722565334051273	128	75	0.759828796284144	0.924040626524815
g__Oribacterium	config	control	-0.15799776897554	0.31436303327739	128	14	0.616125279298074	0.924040626524815
g__Oxalobacter	config	control	-0.501685203463552	0.527864384663015	128	39	0.343725722208368	0.924040626524815
g__Parabacteroides	config	control	0.418655292789511	0.525141798654778	128	126	0.426821094341467	0.924040626524815
g__Parvimonas	config	control	-0.569582031373192	0.903312287385997	128	56	0.529477898121518	0.924040626524815
g__Peptostreptococcus	config	control	-0.556752905923816	0.783162785935845	128	47	0.478458136851692	0.924040626524815
g__Phascolarctobacterium	config	control	0.297161273377706	0.743973901974722	128	115	0.690256798466564	0.924040626524815
g__Porphyromonas	config	control	-0.391340317824743	0.52721947516886	128	18	0.45930397106866	0.924040626524815
g__Proteobacteria_unclassified	config	control	0.467727644585905	0.812957555904744	128	36	0.566086872717122	0.924040626524815
g__Pyramidobacter	config	control	0.219012555149758	0.323545741092573	128	13	0.499701552519245	0.924040626524815
g__Rothia	config	control	0.324665636028793	0.684611299564767	128	60	0.636154188964025	0.924040626524815
g__Ruminococcaceae_unclassified	config	control	0.496933580476728	0.828622461161185	128	96	0.549776134457477	0.924040626524815
g__Ruthenibacterium	config	control	-0.226407705051012	0.61945175763747	128	121	0.71535336413245	0.924040626524815
g__Solobacterium	config	control	-0.199735498854515	0.65295308323947	128	31	0.760188937163855	0.924040626524815
g__Streptococcus	config	control	-0.196870914943193	0.42059342057966	128	128	0.640536816583046	0.924040626524815
g__Sutterella	config	control	0.329479818198709	0.442160103761326	128	40	0.457562996476663	0.924040626524815
g__Turicimonas	config	control	0.369299988657229	0.484535722154645	128	32	0.447381209907697	0.924040626524815
g__Veillonella	config	control	0.530681383998144	0.769134956628268	128	84	0.491480838587273	0.924040626524815
g__Dorea	config	control	0.148891538051818	0.535157468304917	128	121	0.781299488975905	0.925670046721453
