feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Aeriscardovia	config	control	-0.789689963928771	0.239995681912781	128	25	0.00129757401523865	0.0488625106431652
g__Klebsiella	config	control	-2.56251963154603	0.769797800465728	128	91	0.0011438971996901	0.0488625106431652
g__Romboutsia	config	control	-1.25852584086541	0.383757702658094	128	39	0.00134483974247244	0.0488625106431652
g__Escherichia	config	control	-2.08287670060328	0.67533292456771	128	122	0.00250852804572927	0.0683573892461225
g__Bifidobacterium	config	control	-1.88215225748378	0.662235210129353	128	123	0.00522913424937195	0.113995126636308
